"","tweet_id","user_username","text","possibly_sensitive","created_at","conversation_id","author_id","lang","in_reply_to_user_id","user_profile_image_url","user_description","user_name","user_protected","user_created_at","user_verified","user_location","user_pinned_tweet_id","user_url","retweet_count","like_count","quote_count","user_tweet_count","user_list_count","user_followers_count","user_following_count","sourcetweet_type","sourcetweet_id","sourcetweet_text","sourcetweet_lang","sourcetweet_author_id"
"1","1365832396885680131","TinySoul581","RT @aroweek: Today’s arospec label is a nebularomantic. A nebularomantic is someone who has a hard time distinguishing romantic attraction…",FALSE,"2021-02-28T01:13:14.000Z","1365832396885680131","1194066515781279744","en",NA,"https://pbs.twimg.com/profile_images/1607427063946055681/qw-UsH9A_normal.jpg","Clinically Insane, Mentally Ill, Part-time Dumbass, Full-time Smartass, and Professional Shitposter.

Please be patient, I have: Autism, OCD, ADHD, and Anxiety.","Faith",FALSE,"2019-11-12T01:37:21.000Z",FALSE,"16 Ace-Bi Trans-Nb She/They/It",NA,NA,93,0,0,44816,1,292,943,"retweeted","1364924279352098817","Today’s arospec label is a nebularomantic. A nebularomantic is someone who has a hard time distinguishing romantic attraction from platonic attraction, due to their neurodiversity. It can be considered a type of quoiromanticism. https://t.co/sQq87fNyzI","en","1188653718700482560"
"2","1365831102607151104","thinkingautism","RT @shannonrosa: What I particularly love about @ItsEmilyKaty’s post is that so many of her autistic experiences of pure joy are things I s…",FALSE,"2021-02-28T01:08:05.000Z","1365831102607151104","152835605","en",NA,"https://pbs.twimg.com/profile_images/1410629973342228484/zvN1QgW-_normal.jpg","Autism: What you need to know, from autistic people, professionals, & parents. 
More community: https://t.co/0duMGgR587","Thinking Person's Guide To Autism",FALSE,"2010-06-07T00:49:38.000Z",FALSE,"SF Bay Area and Brooklyn",NA,"https://t.co/KvkUy7ggVT",13,0,0,59829,875,53323,7096,"retweeted","1365826365023395841","What I particularly love about @ItsEmilyKaty’s post is that so many of her autistic experiences of pure joy are things I see in my son as well. Autistic commonalities can be such a wonderful thing, even among people who seem extremely different at a first glance. #Neurodiversity https://t.co/iJIHgQHM7o","en","14497828"
"3","1365828626571141120","DanielleGembala","RT @thinkingautism: ""The vibrance and joy of autism is often overlooked amongst the trouble that it can cause. The hard parts do make my li…",FALSE,"2021-02-28T00:58:15.000Z","1365828626571141120","15878034","en",NA,"https://pbs.twimg.com/profile_images/1337414864302526465/mXCByqOD_normal.jpg","Neurodivergent, disabled spoonie, nonbinary bi, parent, writer, archaeologist. White settler👉Land Back She/They. Will disappoint. @ddmgembala@mastodon.social","Danielle Blocks Bigots",FALSE,"2008-08-17T00:25:42.000Z",FALSE,NA,"1353009406112190464",NA,36,0,0,376665,44,1702,4752,"retweeted","1365774661380792321","""The vibrance and joy of autism is often overlooked amongst the trouble that it can cause. The hard parts do make my life hard, but people forget that the good parts are what makes my life really good.” @ItsEmilyKaty, at TPGA:

https://t.co/C3RGj8pywe #autistic #Neurodiversity","en","152835605"
"4","1365828374208258053","autismgadfly","I'm not sure what this #neurodiversity proponent is talking about, I actually saw the movie ""please stand by"" with Dakota Fanning who played an autistic girl and enjoyed it.  I guess the ND's missed their chance to censor her and that movie https://t.co/Va3Kvm2HLa",FALSE,"2021-02-28T00:57:14.000Z","1365828374208258053","63336824","en",NA,"https://pbs.twimg.com/profile_images/1259632022156238849/6Ey6nDEY_normal.jpg","Autistic senior citizen crusading against neurodiversity Author of the novel, The Mu Rhythm Bluff available on Amazon https://t.co/JIwDDrJ9HH","Jonathan Mitchell",FALSE,"2009-08-06T02:12:55.000Z",FALSE,"los angeles",NA,"https://t.co/K8lr8YbsDg",0,4,0,17548,35,1420,1142,"quoted","1365794018332987393","@Samanticka @antivoraction @AsthmaticJewess Probably mad the character is a girl","en","26146007"
"5","1365827334067093506","raelee514","RT @thinkingautism: ""The vibrance and joy of autism is often overlooked amongst the trouble that it can cause. The hard parts do make my li…",FALSE,"2021-02-28T00:53:06.000Z","1365827334067093506","41161284","en",NA,"https://pbs.twimg.com/profile_images/1239827777647341569/RHWOt0i5_normal.png","Autistic AF, Disabled, Bi, Fangirl (she/her) Writer. Thommy, Robron, SPN, Voltron, Fringe. No DMs unless interacted often on TL 1st. Can't do DMs with strangers","Rachel Elisabeth | Gimme 🌨🌨",FALSE,"2009-05-19T17:23:12.000Z",FALSE,NA,"1624151334327926785","https://t.co/MoNyOf8evQ",36,0,0,317425,64,1968,955,"retweeted","1365774661380792321","""The vibrance and joy of autism is often overlooked amongst the trouble that it can cause. The hard parts do make my life hard, but people forget that the good parts are what makes my life really good.” @ItsEmilyKaty, at TPGA:

https://t.co/C3RGj8pywe #autistic #Neurodiversity","en","152835605"
"6","1365826929467793410","raelee514","RT @shannonrosa: What I particularly love about @ItsEmilyKaty’s post is that so many of her autistic experiences of pure joy are things I s…",FALSE,"2021-02-28T00:51:30.000Z","1365826929467793410","41161284","en",NA,"https://pbs.twimg.com/profile_images/1239827777647341569/RHWOt0i5_normal.png","Autistic AF, Disabled, Bi, Fangirl (she/her) Writer. Thommy, Robron, SPN, Voltron, Fringe. No DMs unless interacted often on TL 1st. Can't do DMs with strangers","Rachel Elisabeth | Gimme 🌨🌨",FALSE,"2009-05-19T17:23:12.000Z",FALSE,NA,"1624151334327926785","https://t.co/MoNyOf8evQ",13,0,0,317425,64,1968,955,"retweeted","1365826365023395841","What I particularly love about @ItsEmilyKaty’s post is that so many of her autistic experiences of pure joy are things I see in my son as well. Autistic commonalities can be such a wonderful thing, even among people who seem extremely different at a first glance. #Neurodiversity https://t.co/iJIHgQHM7o","en","14497828"
"7","1365826365023395841","shannonrosa","What I particularly love about @ItsEmilyKaty’s post is that so many of her autistic experiences of pure joy are things I see in my son as well. Autistic commonalities can be such a wonderful thing, even among people who seem extremely different at a first glance. #Neurodiversity https://t.co/iJIHgQHM7o",FALSE,"2021-02-28T00:49:15.000Z","1365826365023395841","14497828","en",NA,"https://pbs.twimg.com/profile_images/1576222720617947137/Ci3sAiES_normal.jpg","Thinking Person's Guide to Autism. She/Her. Neutral Good. Earnest AF. Likes cephalopods. Targ herder. “Nothing beats the bitter elixir of Klingon warriors.”","Shannon Des Roches Rosa",FALSE,"2008-04-23T17:52:15.000Z",FALSE,"San Francisco Bay Area","1395075220960989190","https://t.co/FwbJ2SHeDC",13,48,0,60489,467,13427,4431,"quoted","1365774661380792321","""The vibrance and joy of autism is often overlooked amongst the trouble that it can cause. The hard parts do make my life hard, but people forget that the good parts are what makes my life really good.” @ItsEmilyKaty, at TPGA:

https://t.co/C3RGj8pywe #autistic #Neurodiversity","en","152835605"
"8","1365823507473440769","hotbelgianwafle","RT @aroweek: Today’s arospec label is a nebularomantic. A nebularomantic is someone who has a hard time distinguishing romantic attraction…",FALSE,"2021-02-28T00:37:54.000Z","1365823507473440769","1292330187049373697","en",NA,"https://pbs.twimg.com/profile_images/1619125167854157825/iM-Cvfh3_normal.jpg","Aether/Keiri/Kiwi | she/her | aroace | zoologist | animal rights activist | writer | tc*st, ns/fw, p*dos, inc*st DNI |","Aethernight ⛅️",FALSE,"2020-08-09T05:21:53.000Z",FALSE,NA,"1504899132703621122","https://t.co/aFPVlLJcmi",93,0,0,60111,28,344,1643,"retweeted","1364924279352098817","Today’s arospec label is a nebularomantic. A nebularomantic is someone who has a hard time distinguishing romantic attraction from platonic attraction, due to their neurodiversity. It can be considered a type of quoiromanticism. https://t.co/sQq87fNyzI","en","1188653718700482560"
"9","1365821066023698435","russellhholbert","I feel like having a more inclusive/detailed understanding of neurodiversity helps you take care of yourself better???",FALSE,"2021-02-28T00:28:12.000Z","1365821066023698435","1317203070229643264","en",NA,"https://pbs.twimg.com/profile_images/1526913542208770048/9uBwsMHM_normal.jpg","Queer writer+musician obsessed with words, opera, my cats, and new gendered futures for all | @english_CMU ‘21 | @CMUmusic ‘19 | they/he 🔞","Russell “🦝” Holbert 🌹🌈",FALSE,"2020-10-16T20:37:59.000Z",FALSE,"Pittsburgh, PA","1623528683221786624","https://t.co/fRmJmFqab0",0,4,0,5801,2,369,639,NA,NA,NA,NA,NA
"10","1365819906692964355","CirqueAmy","@M_Miller12 @KevinMKruse @twittipolitti Educating children with neurodiversity and/or disabilities.

Providing healthcare for uninsured people.

Prisons.

Capitalism isn’t the right approach when the “product” is people’s actual lives.",FALSE,"2021-02-28T00:23:36.000Z","1364585329517359111","821576077176934401","en","363800656","https://pbs.twimg.com/profile_images/1521572223068393473/0PNfzurB_normal.jpg","If you argue with me, make it worth my time or get blocked. | @CirqueAmy@mastodon.social | #BlackLivesMatter #ProtectTransYouth #TransphobiaRotsTheBrain","Amy 🏳️‍🌈🏳️‍⚧️Trans Liberation Now🏳️‍⚧️🏳️‍🌈🐀",FALSE,"2017-01-18T04:32:55.000Z",FALSE,"nearest Pride event","1505778044056838145","https://t.co/8fVVIthO53",0,0,0,22030,5,917,1183,NA,NA,NA,NA,NA
