"","tweet_id","user_username","text","lang","conversation_id","created_at","possibly_sensitive","author_id","user_description","user_protected","user_created_at","user_pinned_tweet_id","user_location","user_verified","user_name","user_profile_image_url","user_url","retweet_count","like_count","quote_count","user_tweet_count","user_list_count","user_followers_count","user_following_count","sourcetweet_type","sourcetweet_id","sourcetweet_text","sourcetweet_lang","sourcetweet_author_id","in_reply_to_user_id"
"1","1454599032484007939","TMCreamer","RT @commaficionado: Why is it that whenever non autistic people start tweeting about autism and ADHD, they pretty much always make a right…","en","1454599032484007939","2021-10-31T00:00:09.000Z",FALSE,"451740147","Leitrim native with notions.
Very much a personal account.
(He/Him)",FALSE,"2011-12-31T23:23:39.000Z","1589173369693302784","Leitrim, Ireland",FALSE,"Thomas Creamer","https://pbs.twimg.com/profile_images/1173994417126088708/9V2Azytu_normal.jpg",NA,66,0,0,10856,6,565,837,"retweeted","1454514057676009474","Why is it that whenever non autistic people start tweeting about autism and ADHD, they pretty much always make a right arse of themselves?

Oh yeah, it's cos they're paying literally zero attention to neurodiversity advocacy and voices.","en","48945530",NA
"2","1454656634479947776","LindsaySeldera","RT @TylGrnt: At times the neurodiversity movement gives off major girlboss-feminist vibes","en","1454656634479947776","2021-10-31T03:49:02.000Z",FALSE,"1297650997905457153","Nebraska born and bred. Chicago based. Writer. Martial artist. MFA student. Not a minor.",FALSE,"2020-08-23T21:46:06.000Z","1519145965709582337",NA,FALSE,"Lindsay Seldera","https://pbs.twimg.com/profile_images/1609380660560465920/j_Lm7l_h_normal.jpg",NA,24,0,0,891,1,96,398,"retweeted","1454100940051656712","At times the neurodiversity movement gives off major girlboss-feminist vibes","en","1114143619387203585",NA
"3","1454655659413319684","netwala","Neurodiversity in technology: Are businesses missing out on key talent? - TechCrunch https://t.co/rwq2S1GD46","en","1454655659413319684","2021-10-31T03:45:10.000Z",FALSE,"18863837","... from net with love!",FALSE,"2009-01-11T11:05:48.000Z",NA,NA,FALSE,"netwala","https://pbs.twimg.com/profile_images/70912786/net_normal.jpg","http://t.co/pet53nipzx",0,0,0,23488,7,239,466,NA,NA,NA,NA,NA,NA
"4","1454651451943292930","andrewmorrisuk","RT @LilySpectrum: Am I?
[Traduction: “T’es trop.”, “Ou…”, “T’es basique.”]
*Yesterday's post was cropped so here's the full version! Thanks…","en","1454651451943292930","2021-10-31T03:28:26.000Z",FALSE,"2358562603","Passionate about how IT solutions can bring positive value to our business and personal lives. Proud #autisticparent. Son of a parent with #dementia",FALSE,"2014-02-23T21:58:16.000Z",NA,"Bedford",FALSE,"Andrew Morris","https://pbs.twimg.com/profile_images/1526832446402084864/AB6LX2Bg_normal.jpg",NA,43,0,0,704587,329,16149,1713,"retweeted","1453354452631625732","Am I?
[Traduction: “T’es trop.”, “Ou…”, “T’es basique.”]
*Yesterday's post was cropped so here's the full version! Thanks to @Scarfysquirrel for bringing it to my attention!
#autisticpride #actuallyautistic #autismacceptance #autismawareness #neurodiversity #neurodivergent https://t.co/NQqWjixTOp","en","980659541871333377",NA
"5","1454648244617760768","CGSahawneh","RT @surindarklight: Man, I didn't realize that doctors paying attention to how these neurodiversities manifest in AFAB people was just oppr…","en","1454648244617760768","2021-10-31T03:15:42.000Z",FALSE,"885153404720488448","Ace, quoiromantic, femboy, they/ae/he, genderfluid, 36, minors and radfems DNI. My socials, etc are on my AO3 bio.",FALSE,"2017-07-12T15:06:31.000Z","1616794659660906496","In your imagination",FALSE,"Rookwood cursed Anne 💛♥️🦋🌗","https://pbs.twimg.com/profile_images/1422373644928524294/XyLlhlpH_normal.jpg","https://t.co/aan3QLZ7uy",1,0,0,114649,8,1685,4915,"retweeted","1454646545547153412","Man, I didn't realize that doctors paying attention to how these neurodiversities manifest in AFAB people was just oppressing women this whole time! 

First my transness, now my neurodiversity! 

I wonder if witchcraft will be up next? 

Probably when enough trans people do it. https://t.co/hvG3lfuIpn","en","1148261955796439040",NA
"6","1454646545547153412","surindarklight","Man, I didn't realize that doctors paying attention to how these neurodiversities manifest in AFAB people was just oppressing women this whole time! 

First my transness, now my neurodiversity! 

I wonder if witchcraft will be up next? 

Probably when enough trans people do it. https://t.co/hvG3lfuIpn","en","1454646545547153412","2021-10-31T03:08:57.000Z",FALSE,"1148261955796439040","30+ | Demiman | He/Him | Leftist | Norse Heathen | Witch | Musician | Spirit Worker | No Frith with Fascists | Host @its_Hiero",FALSE,"2019-07-08T16:05:58.000Z","1463556105007779851",NA,FALSE,"Surin","https://pbs.twimg.com/profile_images/1428126136781922304/2ADbOPmq_normal.jpg","https://t.co/S62thiGZ1t",1,2,0,3045,1,116,272,"quoted","1454389404416548866","I think everyone needs to be paying attention to the amount of women who have been subjected to abuse and trauma suddenly being told they have ADHD and autism. 

This is the next wave of pathologisation after BPD and EUPD, mark my words.","en","314700035",NA
"7","1454646295361114115","Moratel_Entles","@veganlovebunny @AishaMD_ @RajSherman *Everyone* needs grace and forgiveness regardless of their neurodiversity. *Everyone* makes mistakes, and hurts others and themselves. This is in no way limited to people on the spectrum.

What is essential is to find one's centre which is at peace despite outward circumstances.","en","1454318089269514241","2021-10-31T03:07:57.000Z",FALSE,"415213990","Passionately curious. Sees beauty. 💗🌎💗 Vintage coder/geek/hippie. Photog. Mystic. Info junkie/searchaholic. 🇨🇦🇺🇸🇨🇭#Entlebucher Mountain Dog whisperer",FALSE,"2011-11-18T01:50:09.000Z","868640579479064576","Maritimes in Canada 🇨🇦",FALSE,"DogMa ❣️🇺🇦🐶🐶🇺🇦❣️","https://pbs.twimg.com/profile_images/1498669993847836677/q2gcahug_normal.jpg",NA,0,0,0,8569,3,1042,3988,NA,NA,NA,NA,NA,"839989754133372928"
"8","1454646290814361605","KateFromYoutube","@mrmarksmeets @LizaYuzda ADHD is not a disorder.  ADHD is a neurodiversity and runs in the family.  🙃","en","1454600144473796609","2021-10-31T03:07:56.000Z",FALSE,"281224181","Queer | Trans | Femme | Parent | YouTuber | Podcaster | A Bit Sweary | Settler 🇨🇦🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇬🏳️‍⚧️

I tweet about sports more than Trans stuff",FALSE,"2011-04-12T21:52:26.000Z","1622726866196103179","Vancouver, British Columbia",FALSE,"Kate Madden","https://pbs.twimg.com/profile_images/1629362111225937921/0cLgQ9fM_normal.jpg","https://t.co/8GehbvpwRY",0,0,0,10712,11,2090,2022,NA,NA,NA,NA,NA,"136058413"
"9","1454644821126221825","DerrekSpace","RT @TechCrunch: Neurodiversity in technology: Are businesses missing out on key talent? https://t.co/dixw40gb2J by @gildeatracie","en","1454644821126221825","2021-10-31T03:02:06.000Z",FALSE,"468095215","Finance Executive | Consultant | Business Adviser | Loving Father and Husband",FALSE,"2012-01-19T05:08:40.000Z","168190380980973568","Coral Gables, Florida",FALSE,"Derrek Space","https://pbs.twimg.com/profile_images/1489935722685640707/7bvrTIIS_normal.jpg","https://t.co/VZGi0lfLQs",11,0,0,26444,9,357,1448,"retweeted","1454451864573972486","Neurodiversity in technology: Are businesses missing out on key talent? https://t.co/dixw40gb2J by @gildeatracie","en","816653",NA
"10","1454641668897087488","APurpleWeirdo","RT @BethRadulski: As #ActuallyAutistic #Neurodiversity sociologist: you say your words are twisted. So clarify. What solution do you advoca…","en","1454641668897087488","2021-10-31T02:49:34.000Z",FALSE,"1443939959031967751","Self diagnosed because health care is expensive. Autism/ADHD and child of a narcissistic mom. Future vanlife. gender fluid. she/they/he",FALSE,"2021-10-01T14:05:00.000Z",NA,NA,FALSE,"Neurodivergent","https://pbs.twimg.com/profile_images/1454461951988338701/eSR4nZrb_normal.jpg",NA,8,0,0,162,0,3,29,"retweeted","1454583921673322498","As #ActuallyAutistic #Neurodiversity sociologist: you say your words are twisted. So clarify. What solution do you advocate for: Less diagnoses of Autistic/ADHD women OR institutional change at intersection of ableism &amp; sexism? Below you say diagnosis is the problem—hence outcry. https://t.co/4Da439NtZm","en","743840844071862272",NA
