"","tweet_id","user_username","text","possibly_sensitive","conversation_id","author_id","lang","created_at","in_reply_to_user_id","user_description","user_created_at","user_profile_image_url","user_protected","user_location","user_verified","user_name","user_url","user_pinned_tweet_id","retweet_count","like_count","quote_count","user_tweet_count","user_list_count","user_followers_count","user_following_count","sourcetweet_type","sourcetweet_id","sourcetweet_text","sourcetweet_lang","sourcetweet_author_id"
"1","1355674293309464578","Russell_Elliot1","RT @thinkingautism: Yes, many autistic kids (&amp; adults) enjoy Dungeons and Dragons. But side-eye on framing D&amp;D as “therapeutic” or using it…",FALSE,"1355674293309464578","1016018412","en","2021-01-31T00:28:33.000Z",NA,"Eco-socialism sometime quite soon please! #ActuallyAutistic @russell@toot.wales","2012-12-16T20:33:56.000Z","https://pbs.twimg.com/profile_images/1479790866550210560/Pvx4Z3dg_normal.jpg",FALSE,"Conwy, Wales",FALSE,"Russell Elliott",NA,NA,24,0,0,83815,109,4021,3302,"retweeted","1355613724778741761","Yes, many autistic kids (&amp; adults) enjoy Dungeons and Dragons. But side-eye on framing D&amp;D as “therapeutic” or using it for “improving social skills.” Let autistic people like what they like without NT framing, please. 

https://t.co/tsFzSQg4hB

#Neurodiversity #autism #autistic","en","152835605"
"2","1355673732577185792","DavidSanwald","@alexcg Seems almost as odd as a company where the CEO posts a clip of a neurodiverse person for laughs while telling an employee, that shared why his personal experience means that autism/#neurodiversity has a serious side as well, this openness might risk the success of the company.",FALSE,"1354158497773068291","700674192178487297","en","2021-01-31T00:26:19.000Z","5717072","Pronouns: Don't care about mine, sure as hell will respect yours.
Berlin-based software developer. Loving: Code, learning, reinforcement learning...
Pro Choice.","2016-02-19T13:32:00.000Z","https://pbs.twimg.com/profile_images/859513135979520000/iXsUk8zJ_normal.jpg",FALSE,"Berlin",FALSE,"David Sanwald","https://t.co/6SRNKGr7oQ",NA,0,0,0,366,0,202,1614,NA,NA,NA,NA,NA
"3","1355673059257167873","GrahamYvonna","RT @DifferentlyMike: Neurodiversity Is a Competitive Advantage https://t.co/Pp84NIciHV",FALSE,"1355673059257167873","4437630798","en","2021-01-31T00:23:39.000Z",NA,"Co-author: Dyslexia Tool Kit. Tweet / RT about dyslexia and all neurodiversity with emphasis on the gifts divergent thinkers bring to the world.","2015-12-03T03:11:12.000Z","https://pbs.twimg.com/profile_images/769210842600476672/K13cYQhK_normal.jpg",FALSE,"Pagosa Springs, CO",FALSE,"Yvonna Graham","https://t.co/8bWPzNoui5","806897256939057152",3,0,0,27593,49,1869,1506,"retweeted","1355575979016675333","Neurodiversity Is a Competitive Advantage https://t.co/Pp84NIciHV","en","795734260070158337"
"4","1355672461233319938","jburkhart402","RT @AspergersGrowth: Diversity In Autism - The Many Facets Of Neurodiversity 🌈

https://t.co/4tAHTVpWY5",FALSE,"1355672461233319938","1345654725522448388","en","2021-01-31T00:21:16.000Z",NA,"🎮🛹 #skatetwitter  ❤️send love out💕 ╰ɵ───ɵ╯","2021-01-03T08:54:51.000Z","https://pbs.twimg.com/profile_images/1375079763191160837/nsDzGppH_normal.jpg",FALSE,"Los Angeles, CA",FALSE,"Jordan",NA,NA,2,0,0,209,0,176,335,"retweeted","1355490762901880834","Diversity In Autism - The Many Facets Of Neurodiversity 🌈

https://t.co/4tAHTVpWY5 https://t.co/rZAxjNGbfu","en","294145551"
"5","1355672270329552898","NeuroRebel","RT @NeuroRebel: Minister calls for evidence on neurodiversity in criminal justice system. https://t.co/6y7K9qfr3Q https://t.co/qTPxERnYJj",FALSE,"1355672270329552898","801841042710495232","en","2021-01-31T00:20:31.000Z",NA,"Lyric Rivera: #Queer #Trans #ActuallyAutistic #Hyperlexic #ADHD, educator,  artist, & best selling author of Workplace NeuroDiversity Rising","2016-11-24T17:32:56.000Z","https://pbs.twimg.com/profile_images/1611430869243408384/hojTG9PR_normal.jpg",FALSE,"Nomad",FALSE,"NeuroDivergent Rebel (they/them/Xe/Xem) 🧠 🏳️‍🌈","https://t.co/W6Bgy3DI1M","1628394268552306688",9,0,0,119023,390,40174,11932,"retweeted","1350578616434909189","Minister calls for evidence on neurodiversity in criminal justice system. https://t.co/6y7K9qfr3Q https://t.co/qTPxERnYJj","en","801841042710495232"
"6","1355672101345058816","ADHD_Jiren_chan","ニューロ・ダイバーシティ（英:neurodiversity）
教育や障害に対するアプローチであり、様々な神経疾患は普通のヒトゲノムの差異の結果として現れるのだ、ということを提唱する。
最近耳にする方もいるはず。
これは神経多様性のことで、最近の欧米の主流の考え方 #定期",FALSE,"1355672101345058816","1052993741437292544","ja","2021-01-31T00:19:50.000Z",NA,"INFPタイプのお豆腐メンタリスト。双極性障害とADHDの診断を受け、ワーキングメモリの処理速度が低く、認知行動療法、森田療法、NLPを駆使して #エモ活 を実践しています。思考の言語化が苦手なので、辛いこともあるけれど、任意団体@はーもにあかふぇで広報を手伝いながら、社会復帰を目指しています。お仕事の依頼はDMで。","2018-10-18T18:44:06.000Z","https://pbs.twimg.com/profile_images/1628656029763522564/U4KRQeQh_normal.jpg",FALSE,"おんせん♨️天国/地獄👹めぐりの聖地",FALSE,"Jiren G.Charm@燃え尽き症候群(じれんちゃん)/生きづらさデザイナー","https://t.co/pMK6MInqg0","1126056408560984064",0,0,0,78464,10,2194,1360,NA,NA,NA,NA,NA
"7","1355670814918467589","TheOneCalledEli","RT @JustStimming: Hey I just read this and it is the best kid's book about autism I have ever read. It provides simple, straightforward inf…",FALSE,"1355670814918467589","32915646","en","2021-01-31T00:14:44.000Z",NA,"she/her.
Misanthrope.
Big black boots Long brown hair She's so sweet With her get back stare.
Nazis, TERFs, bigots of any kind - fuck off! BLM.
Venmo😍 @E-F-G-H","2009-04-18T15:34:19.000Z","https://pbs.twimg.com/profile_images/1415536596904939529/WjaT7xz5_normal.jpg",FALSE,"Who the fuck's asking?",FALSE,"Eli","https://t.co/LXhk4Pwfrl","1015706538529447936",90,0,0,144042,17,429,1080,"retweeted","1355275476860862471","Hey I just read this and it is the best kid's book about autism I have ever read. It provides simple, straightforward information about what autism is and what a child might be experiencing. It reinforces constantly that they are perfect and they are loved. #Neurodiversity https://t.co/z4VtkUKITx","en","3081856324"
"8","1355670295458308105","NeuroRebel","RT @NeuroRebel: Neurodiversity Hiring- Call for Candidates Connect to career opportunities at upcoming neurodiversity hiring events, being…",FALSE,"1355670295458308105","801841042710495232","en","2021-01-31T00:12:40.000Z",NA,"Lyric Rivera: #Queer #Trans #ActuallyAutistic #Hyperlexic #ADHD, educator,  artist, & best selling author of Workplace NeuroDiversity Rising","2016-11-24T17:32:56.000Z","https://pbs.twimg.com/profile_images/1611430869243408384/hojTG9PR_normal.jpg",FALSE,"Nomad",FALSE,"NeuroDivergent Rebel (they/them/Xe/Xem) 🧠 🏳️‍🌈","https://t.co/W6Bgy3DI1M","1628394268552306688",9,0,0,119023,390,40174,11932,"retweeted","1353694684288348163","Neurodiversity Hiring- Call for Candidates Connect to career opportunities at upcoming neurodiversity hiring events, being held at companies nationwide in 2021. All are designed to remove barriers...

https://t.co/atWchEBzrR https://t.co/P8oBlvWDlf","en","801841042710495232"
"9","1355752527799742469","goodgrieficarus","RT @miniadhdcoach: Many people with #ADHD are very sensitive to noises 👂

When this sensitivity causes strong emotional reactions, it’s cal…",FALSE,"1355752527799742469","1020351070986539008","en","2021-01-31T05:39:25.000Z",NA,"he/him | 18 | 🎵11/29/2018🎵 | zeldatwt | dsmp | quacktwt, feraltwt, manifoldtwt, dilftwt (don't ask) | take sticks, but only sometimes","2018-07-20T16:53:47.000Z","https://pbs.twimg.com/profile_images/1406684380496547846/sFjVsYEB_normal.jpg",FALSE,"Illinois, USA",FALSE,"Ian?? 🌃 Inactive Era📌",NA,"1389780613536919556",3,0,0,11271,16,200,576,"retweeted","1354529430329241606","Many people with #ADHD are very sensitive to noises 👂

When this sensitivity causes strong emotional reactions, it’s called “Misophonia” 👀

But it’s not your fault 🙅 !
So be kind to yourself 😌💕
And try to make adjustments 🙉🎧🤫

#MentalHealthMatters #Neurodiversity https://t.co/7AOohndwCe","en","1353275490187038720"
"10","1355746343319465984","Ajansev2011","Autism symptoms: Clinical expert shares her insight on neurodiversity https://t.co/ulEDwRifCV",FALSE,"1355746343319465984","617941747","en","2021-01-31T05:14:51.000Z",NA,"Everything about life","2012-06-25T09:19:28.000Z","https://pbs.twimg.com/profile_images/1590653815027634178/9JTq0Ma6_normal.png",FALSE,"United States",FALSE,"Ajansev","https://t.co/tz9ncWTsF1",NA,0,0,0,258595,2,75,42,NA,NA,NA,NA,NA
