,tokenized_text,is_after_split_date
0,mark ten years partnering introduce members approximately uk population see become book place,False
1,proud share recent publication coauthored dear colleagues friends intentionality movement warmly welcome feedback dialogue discussion,False
2,wasnt lonely one autistic lonely one raised society intolerant people different case happened result autism,False
3,also understanding stimming absolutely ridiculous go educate writing absurdities everyone see,False
4,sadly teacher training everywhere seems massively lacking fundamentals understanding mean would hope intrinsic kindness empathy would suffice eliminate sort experience absence training would help,False
5,today giving talk stemm particular intersectionality girl free tickets arrow,False
6,differently abled people need ever hate crime taken seriously autistic person never accept abuse took,False
7,today giving talk stemm particular intersectionality girl free tickets arrow,False
8,thank much proud publication dear group colleagues,False
9,accused lying cause autistic people look like lying please rt,False
10,challenges university included culture shock becoming disengaged lack proactive support perceived inevitability dropping,False
11,believe supporting whole child especially may quite fit expected criteria realize potential,False
12,personal take plus bit good measure,False
13,read every word pages make journalistic competency goddess level subtleties argument mostly editorial competency two distinct approaches,False
14,mental illness time prefer official stance characters mi fear something appears like palladium books find bad job mi insulting attempt right,False
15,anyone else feel way,False
16,name timothy rohrer young adult autism new jersey advocate disability inclusion im making animated videos socially include people disabilities please sure check subscribe youtube,False
17,supervisor made sure team knew embraced suggestions make community engagement accessible disabled folx,False
18,im sorry punishments im glad helped im glad hear youre well also whats movement im part im glad clarified terms,False
19,happy halloween twitter,False
20,go away,False
21,autistic whats expertise autism mine im autistic kid majority personality shape view world,False
22,learn workplace virtual panel event tomorrow november register,False
23,workplace power difference,False
24,sensory,False
25,kay sargent outlined argument placing centre office design fourth frame x orgatec agile working talk iba forum,False
26,ayyyyyyy im gif yall,False
27,sensory experts ava sophie testing images music next software release due early,False
28,sure actual issue usage see often juxtaposition neurotypical nt vs nd,False
29,sari soldens radical guide women adhd embrace live boldly break barriers reading reviews see materially different women adhd book im finishing audio book presently,False
30,nd parents nd kids balance connecting parents nd kids clearly need support resources kids sake long way go understanding advocacy,False
31,people think leaves people makes sense literally includes everyone shows gross misinterpretation word,False
32,moving negate stimming self autonomy requires engagement impacted reductive approaches viewing autism removable requiring change runs counter philosophy acceptance celebration movement,False
33,employ people think differently wed rather,False
34,imposed structures routines make sense autistic person increase stress resultant anxiety dr mccreadie reader,False
35,well end thread want ask youre within movement yet try talking several activists talking least eleven bodies trying inclusive plurality people share body,False
36,say movement anticure antitherapy whatever blatant misinformation best fails consider power dynamics play might lead sentiments actual infighting communities,False
37,basically saying paradigm essentially showing taking action idea forcing someone exist evil,False
38,definitely something need mindful especially possible adhder mean autism,False
39,generally making people accept disability natural thing happen regardless try stop said think neurotypicals listen community question asking cures,False
40,theres much fit much tweets please writing articles talking whatever make sure actually mean watered shit probable neurotypicals gave,False
41,conditions neurotypes adhd plurality regardless origin nondid endogenic belongs much stereotypically system schizophrenia downs syndrome npd bpd,False
42,exploitative nature civilised cultures top mind many people contrast many neuronormative people seem deal trauma via denial resulting profound levels cognitive dissonance,False
43,would nice neurotypicals stopped equating solely autism yes autism people fall umbrella possibly started movement lots people fall,False
44,snag line reasoning corporate work autism work initiatives largely scams procure domesticated corporate workers afford ask uncomfortable questions purpose organisation,False
45,youre forcing gender ideologies onto child youre taken seriously society comfortable youre forcing autism plural stuff onto yes youre forcing exact opposite onto us,False
46,knowing switch coping styles problem focused coping emotion focused coping able across situations called adaptive coping dr mccreadie reader,False
47,fact movement forever element autistic people fighting parents autistic kids many selfadvocates hate parents care autistic children combined fact many parents self centered,False
48,im saying dont value think autistic people shouldnt advocate daughter advocating asking swimming lessons going alway priority internet rando,False
49,really interesting podcast radicalized give constructive criticism description autism talks illness something treated cured dated view inappropriate illness,False
50,understanding responding behaviours challenge discussed reader dr mccreadie much perceived controllability affects decisions make regarding support,False
51,tomorrow join connections duke career center workplace info navigating interviews registration required,False
52,know first step goal want see families professionals educated contributes much world cont,False
53,collaborative educators want see systemic legislative change part work families cont,False
54,wish could help maximise potential strategy ive turned every application national trust hq ive ever applied past years im also diversity candidate lifelong condition,False
55,,False
56,realise doesnt challenge youre right consider attitudes language directly impacts people treated ask dont assume maura campbell reader,False
57,neurotypical scientific word always associated autism generalised opposite nothing else description neurotypical person monolithic way describe billions people psychologically biggest flaw,False
58,lockdown starting might worth busting,False
