"","tweet_id","user_username","text","created_at","possibly_sensitive","lang","author_id","conversation_id","in_reply_to_user_id","user_created_at","user_name","user_protected","user_pinned_tweet_id","user_description","user_verified","user_profile_image_url","user_location","user_url","retweet_count","like_count","quote_count","user_tweet_count","user_list_count","user_followers_count","user_following_count","sourcetweet_type","sourcetweet_id","sourcetweet_text","sourcetweet_lang","sourcetweet_author_id"
"1","1299915788137017345","sugarandices","RT @thinkingautism: If you want to do right by your autistic kid (or any autistic person, really), then please do your best to understand a…","2020-08-30T03:44:09.000Z",FALSE,"en","1295915570630496256","1299915788137017345",NA,"2020-08-19T02:48:53.000Z","Cee 🍬🧊",FALSE,"1331992777853263872","semi hiatus. akun pm, mostly ooc tweets. sesempat & sepengennya pace. for in-depth plot talk i prefer discord: halocinated#9715 (feel free to poke!)",FALSE,"https://pbs.twimg.com/profile_images/1543243235224866817/lopmdky8_normal.jpg",NA,NA,43,0,0,5111,0,66,65,"retweeted","1299747871575556098","If you want to do right by your autistic kid (or any autistic person, really), then please do your best to understand and respect these factors about being autistic— like processing time, echolalia, and stimming:

https://t.co/gYvvZsYMPc 

#autism #autistic #Neurodiversity","en","152835605"
"2","1299914758695477248","AutismActually","We loved this Ausome interview of @Bprizant1, run by @notanautismmom. It is so powerful having allies who are Neurodiversity aligned and help amplify Autistic voices. ♾♾🧠🧠

https://t.co/0wSiOfcFfr","2020-08-30T03:40:04.000Z",FALSE,"en","974906738045468673","1299914758695477248",NA,"2018-03-17T07:14:14.000Z","∞ Autism Actually ∞",FALSE,NA,"We provide workshops and presentations on Autism for parents, teachers, students, and Autistic individuals in multiple settings. 🦄🌈 #ActuallyAutistic #Autism",FALSE,"https://pbs.twimg.com/profile_images/1293067166300770304/HSednUkS_normal.jpg","Melbourne, Victoria","https://t.co/x2ZdkxSa0E",0,0,0,858,6,495,173,NA,NA,NA,NA,NA
"3","1299914461424177152","wickedcritta","@qanondenier @ooceanboi @hayxsmith @QueerlyAutistic did you know. that the deaf community and the neurodiversity community. are two different communities? and that we prefer two different ways of discussing our issues?

please stop talking over deaf people.","2020-08-30T03:38:53.000Z",FALSE,"en","2329559648","1299318944277434369","1299730377263603714","2014-02-06T00:30:54.000Z","president cell phone",FALSE,NA,"the once and future twink. he/him sé/é.
writer丨queer 🏳️‍🌈🏳️‍⚧️丨deaf/HoH丨mac léinn na Gaeilge 🇮🇪",FALSE,"https://pbs.twimg.com/profile_images/1578851535316189184/m-j9DgiE_normal.jpg","Seattle, WA",NA,0,2,0,11326,0,66,355,NA,NA,NA,NA,NA
"4","1299914449634164736","AutismActually","📷 We loved this Ausome interview of Barry Prizant, run by @notanautismmom. It is so powerful having allies who are Neurodiversity aligned and help amplify Autistic voices. ♾♾🧠🧠 https://t.co/0wSiOeV4nT... https://t.co/IKRXOkEXJo","2020-08-30T03:38:50.000Z",FALSE,"en","974906738045468673","1299914449634164736",NA,"2018-03-17T07:14:14.000Z","∞ Autism Actually ∞",FALSE,NA,"We provide workshops and presentations on Autism for parents, teachers, students, and Autistic individuals in multiple settings. 🦄🌈 #ActuallyAutistic #Autism",FALSE,"https://pbs.twimg.com/profile_images/1293067166300770304/HSednUkS_normal.jpg","Melbourne, Victoria","https://t.co/x2ZdkxSa0E",0,0,0,858,6,495,173,NA,NA,NA,NA,NA
"5","1299913883730300933","JoshuaHartzler3","RT @ZOOMAutism: Find the Dorktales Storytime Podcast on your favorite podcast listening app and enjoy original Dorktales and Hidden Heroes…","2020-08-30T03:36:35.000Z",FALSE,"en","894766896519593984","1299913883730300933",NA,"2017-08-08T03:47:06.000Z","The Duke of Artz",FALSE,"1341466968923238400","I'm an Artist Diagnosed with Mild Autism. I enjoy drawing & sketching almost anything that allows me to showcase my talent to entertain & delight others.",FALSE,"https://pbs.twimg.com/profile_images/1468426827786067969/14YYTqHO_normal.jpg","Jefferson City, MO","https://t.co/dotz7zKAgJ",1,0,0,2472,3,105,459,"retweeted","1299913506511376384","Find the Dorktales Storytime Podcast on your favorite podcast listening app and enjoy original Dorktales and Hidden Heroes of History.  @geekclubbooks #neurodiversity #childrenspodcast https://t.co/X9ynAugcKP https://t.co/NjVuLJiwhG","en","2738033563"
"6","1299913506511376384","ZOOMAutism","Find the Dorktales Storytime Podcast on your favorite podcast listening app and enjoy original Dorktales and Hidden Heroes of History.  @geekclubbooks #neurodiversity #childrenspodcast https://t.co/X9ynAugcKP https://t.co/NjVuLJiwhG","2020-08-30T03:35:05.000Z",FALSE,"en","2738033563","1299913506511376384",NA,"2014-08-16T19:57:55.000Z","ZOOM Autism Magazine - Employment issue out now!",FALSE,"1587203262297800704","ZOOM Autism Magazine is by #autistic people for all. We want the world to see #autism through many lenses. #ZoomAutism is a #nonprofit program @AutismEmpowermt",FALSE,"https://pbs.twimg.com/profile_images/1586812330964582401/3pBG-wzv_normal.jpg","USA","https://t.co/1V0ahIc5XP",1,1,0,7323,59,2827,1729,NA,NA,NA,NA,NA
"7","1299912040853635074","RJFSmith","RT @FastCompany: ""Coming out as a queer woman was much different than coming out as autistic. We still have far to go before neurodiversity…","2020-08-30T03:29:16.000Z",FALSE,"en","66579301","1299912040853635074",NA,"2009-08-18T03:09:32.000Z","Roberta Foster-Smith",FALSE,NA,"Marketing communications for electronics manufacturing. I support FIRST robotics, Padres ⚾, Black Lives Matter! She/her. Tweets are my own opinions.",FALSE,"https://pbs.twimg.com/profile_images/982812244101677056/iJm89liC_normal.jpg","Carlsbad, CA, USA","https://t.co/aatvuKdmCg",4,0,0,3863,30,556,2095,"retweeted","1299911335363465216","""Coming out as a queer woman was much different than coming out as autistic. We still have far to go before neurodiversity is normalized."" https://t.co/sI4DNLvs4e","en","2735591"
"8","1299912029990518790","MarkMalachowski","RT @FastCompany: ""Coming out as a queer woman was much different than coming out as autistic. We still have far to go before neurodiversity…","2020-08-30T03:29:13.000Z",FALSE,"en","813273195851681792","1299912029990518790",NA,"2016-12-26T06:40:14.000Z","MTM",FALSE,NA,"",FALSE,"https://pbs.twimg.com/profile_images/1512087383151300627/AGR0OwO0_normal.jpg","United States",NA,4,0,0,151890,6,299,1921,"retweeted","1299911335363465216","""Coming out as a queer woman was much different than coming out as autistic. We still have far to go before neurodiversity is normalized."" https://t.co/sI4DNLvs4e","en","2735591"
"9","1299911907709771776","MedinaAngelMx","RT @FastCompany: ""Coming out as a queer woman was much different than coming out as autistic. We still have far to go before neurodiversity…","2020-08-30T03:28:44.000Z",FALSE,"en","322754490","1299911907709771776",NA,"2011-06-23T17:55:04.000Z","Angel Medina ",FALSE,"1526961139040534530","Hijo de Ejidatario,
Ing. Agrónomo Especialista en Zootecnia

INIFAP-SADER/
Departamento de Zootecnia-UACH",FALSE,"https://pbs.twimg.com/profile_images/1574243431572033536/Q03GzrdE_normal.jpg",NA,NA,4,0,0,2913,1,107,1707,"retweeted","1299911335363465216","""Coming out as a queer woman was much different than coming out as autistic. We still have far to go before neurodiversity is normalized."" https://t.co/sI4DNLvs4e","en","2735591"
"10","1299911335363465216","FastCompany","""Coming out as a queer woman was much different than coming out as autistic. We still have far to go before neurodiversity is normalized."" https://t.co/sI4DNLvs4e","2020-08-30T03:26:28.000Z",FALSE,"en","2735591","1299911335363465216",NA,"2007-03-28T22:39:21.000Z","Fast Company",FALSE,"1628832080439267328","Inspiring readers to think beyond traditional boundaries & create the future of business. Subscribe to our daily newsletter: https://t.co/BpH3KmBae9",TRUE,"https://pbs.twimg.com/profile_images/1051826427837014017/v2TLU4mf_normal.jpg","New York, NY","https://t.co/TnX79ODnqf",4,16,1,299055,41662,2323840,4137,NA,NA,NA,NA,NA
