"","tweet_id","user_username","text","possibly_sensitive","author_id","lang","created_at","conversation_id","user_name","user_created_at","user_pinned_tweet_id","user_description","user_verified","user_protected","user_profile_image_url","user_url","user_location","retweet_count","like_count","quote_count","user_tweet_count","user_list_count","user_followers_count","user_following_count","sourcetweet_type","sourcetweet_id","sourcetweet_text","sourcetweet_lang","sourcetweet_author_id","in_reply_to_user_id"
"1","1377052912967421953","nmsnerd","#AutismAwarenessWeek #AutismAwarenessMonth #AutismAcceptanceMonth 

If you are an ally to autistics or work with autistics, it’s imperative you learn about neurodiversity and what autistic people are saying. 

You are not an ally unless you amplify our voices first and foremost.",FALSE,"3357828953","en","2021-03-31T00:19:33.000Z","1377052912967421953","Your Local Queer Autistic Nerd","2015-07-04T00:59:17.000Z","1529892686836248589","My default state is executive dysfunction and hyperfixation on a special interest. Stuff about me: She/her. 26. Autism, dyspraxia, OCD. M-spec/bi/ace/queer.",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1266907472276664320/EbB2hI4S_normal.jpg",NA,NA,1,6,0,6976,14,1022,152,NA,NA,NA,NA,NA,NA
"2","1377051948231315456","swiftie201","RT @TruthAutistic: Thread for #autismacceptance
♾

#REDinstead #ToneItDownTaupe #LightItUpGold #autismacceptancemonth #ActuallyAutistic #au…",FALSE,"1101885227046178818","en","2021-03-31T00:15:43.000Z","1377051948231315456","🎉Sammi- GOING TO THE ERAS TOUR ON 5/14🎉","2019-03-02T16:41:24.000Z","1605275453991931915","autistic. Love Taylor Swift. non binary lesbian. I hope to meet her one day! she/they 21 years young",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1399874947892142081/S6LuPPAB_normal.png",NA,NA,107,0,0,18860,29,7077,7456,"retweeted","1374914380127698945","Thread for #autismacceptance
♾

#REDinstead #ToneItDownTaupe #LightItUpGold #autismacceptancemonth #ActuallyAutistic #autismawareness #autismspeaks #Neurodiversity #autism #autistic #autistictruth #AllAutistics https://t.co/FqeYLXtPA2","en","1374029576612024320",NA
"3","1377050656565956608","thinkingautism","RT @thinkingautism: ""Autistic people have different sensory experiences, and when a parent either disagrees with or denies those sensory ex…",FALSE,"152835605","en","2021-03-31T00:10:35.000Z","1377050656565956608","Thinking Person's Guide To Autism","2010-06-07T00:49:38.000Z",NA,"Autism: What you need to know, from autistic people, professionals, & parents. 
More community: https://t.co/0duMGgR587",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1410629973342228484/zvN1QgW-_normal.jpg","https://t.co/KvkUy7ggVT","SF Bay Area and Brooklyn",89,0,0,59829,875,53323,7096,"retweeted","1376986580175364097","""Autistic people have different sensory experiences, and when a parent either disagrees with or denies those sensory experiences, the impact it has on the autistic kid is gaslighting, even if it wasn’t intentional.” From @AutSciPerson:

https://t.co/JMaOJwk6vf #Neurodiversity","en","152835605",NA
"4","1377096196645216257","anatasetv","RT @characterselect: Hello #ActuallyAutistic friends! Twitch doesn't have any emotes for us, and I think it's time we changed that.

#Neuro…",FALSE,"933653581848350720","en","2021-03-31T03:11:33.000Z","1377096196645216257","anatase","2017-11-23T11:08:55.000Z",NA,"🔪﹒they/them",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1532598815571775488/7XI45rQF_normal.jpg","https://t.co/P0K8Kh2p0i","anatasetv@gmail.com",50,0,0,6441,11,494,400,"retweeted","1377083177030856704","Hello #ActuallyAutistic friends! Twitch doesn't have any emotes for us, and I think it's time we changed that.

#Neurodiversity &amp; #LightItUpGold over on #twitchtv 

Search infAu and/or infSpec to add 'em to your channels, or check the links in the subtweet https://t.co/P41Fs3dMdJ","en","314985429",NA
"5","1377095977337712651","simianlines","@nevenaspirovska I just wanna say that it’s a huge deal to me that the promo doesn’t include strobe lights. They’ve truly considered neurodiversity.",FALSE,"78223787","en","2021-03-31T03:10:40.000Z","1377053088679292929","DJ AJ Soprano (Married)","2009-09-29T05:15:36.000Z",NA,"Design Art person and stuff on Wurundjeri country.",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1599257666865405952/mEEOEs-y_normal.jpg","https://t.co/VrUwrmDXFC","Melbourne",1,3,0,5082,2,207,914,NA,NA,NA,NA,NA,"2797572830"
"6","1377094677543931906","jduke4","Excited to share this FREE event to kickoff Autism Awareness month! NOVA Annandale will host @RachnaHeizer : Neurodiversity: Reframing disability as diversity. Thurs. April 1 @ 12:30. To register, click on the link in the flyer.https://t.co/URqyp0BixG",FALSE,"96978626","en","2021-03-31T03:05:30.000Z","1377094677543931906","Dr. Jodi Duke","2009-12-15T13:15:41.000Z",NA,"Assoc Professor of Special Ed at George Mason Univ | GMU Autism Spectrum Program | Researching #autistic college students with #mentalhealth needs",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1580571342960738306/dz4dcy7H_normal.jpg",NA,"Northern Virginia",0,3,1,782,5,257,381,NA,NA,NA,NA,NA,NA
"7","1377094462094991362","SubstanceCares","RT @RWAworks: RWA is proud to partner in this year’s Spectrum Works virtual job fair on April 8, 2021. If you are an #employer looking to h…",FALSE,"863479881539215364","en","2021-03-31T03:04:39.000Z","1377094462094991362","Substance Cares","2017-05-13T19:43:41.000Z",NA,"Born out of the desire to create real opportunities to help other members of our society, instead of just wishing we knew how. https://t.co/WvE5rk3GlG",FALSE,FALSE,"https://pbs.twimg.com/profile_images/996420787509772288/OYW-HOoG_normal.jpg",NA,"Toronto, Ontario",5,0,0,198,1,76,306,"retweeted","1367161655092793350","RWA is proud to partner in this year’s Spectrum Works virtual job fair on April 8, 2021. If you are an #employer looking to hire inclusively, RWA is here to help! Register today: https://t.co/V1RK8z245k

#inclusion #neurodiversity #DiverseWorkforce #employment https://t.co/D9stJtsgvy","en","3666855921",NA
"8","1377092899440095233","RetroAlleyCat","This one from 2018 is aware of neurodiversity movement, using ""neurotypical people,"" but defaulting to person first when describing Autistics: https://t.co/JUH0XqxFsI",FALSE,"1210384488389398528","en","2021-03-31T02:58:27.000Z","1377091748279820293","RetroAlleyCat (she/her)","2019-12-27T02:18:55.000Z","1434670038779404289","Seeker. Always learning. Healthcare Instructional Designer & Technical Writer. 🧙🏻‍♀️MAGIC - Behcet’s & RP; Possible NeuroBehcet’s. Pursuing Coast FIRE.",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1530299637604700161/XXqv3TZw_normal.jpg",NA,NA,0,0,0,5623,7,669,2053,NA,NA,NA,NA,NA,"1210384488389398528"
"9","1377090287575519234","AutismAwareAus","RT @usqedu: Championing #Neurodiversity in the workforce 💛

@usqedu's @yosheen1 highlights the benefits of hiring those on the autism spect…",FALSE,"263477022","en","2021-03-31T02:48:04.000Z","1377090287575519234","Autism Awareness Aus","2011-03-10T03:24:26.000Z",NA,"Empowering autism families.
Improving the lives of all Australians on the autism spectrum & the families who love them",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1449669982342684673/Xo2noOqg_normal.jpg","https://t.co/UlMmtwHJ4V","Australia",7,0,0,4906,67,6539,538,"retweeted","1377072198586789890","Championing #Neurodiversity in the workforce 💛

@usqedu's @yosheen1 highlights the benefits of hiring those on the autism spectrum.

Details: https://t.co/3IkkySJ9RE https://t.co/OoPVHuHIUD","en","26899383",NA
"10","1377087312329314305","EChickentender","@erikaheidewald 100%! That's why I push for the demedicalizing human beings and enacting the Social Model of Disability. 

Disability/Neurodiversity are not and shouldn't be, esp in this day and age, considered a ""defect or deficit"".",FALSE,"1351005833669332996","en","2021-03-31T02:36:14.000Z","1376920248587149319","EmmaLee Chickentender She/Any","2021-01-18T03:17:59.000Z","1627374303313379329","NO-DMs-ATM
she/they/any
Level-38(yrs)
#Writer
#Artist
#Educator
#Parent
#Decolonize(ing)
#NDN
#Queer
#ActuallyAutistic
#AuDHD
#ARFID
#SituationalMutism
#PTSD",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1558537498321641472/VGGIlr6P_normal.jpg","https://t.co/Ye22Rc06Yq","USA/Turtle Island/Earth/Solar",0,1,0,36152,13,1918,4919,NA,NA,NA,NA,NA,"64274719"
